                           Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V         Vth         Np        Beta   
                           nT         nT         nT         nT        deg        deg        km/s       km/s       cm^3              
2011  252  81914945      10.28      -1.22      -8.62       4.87      29.25     261.91      502.6       57.3        6.6      0.432
2011  252  81997601      10.09      -0.36      -9.74       1.89      10.99     267.87      502.7       65.0        7.0      0.607
2011  252  82098921       9.95      -1.19      -9.10       3.12      18.74     262.58      511.2       68.9        7.0      0.703
2011  252  82190914      10.01      -2.18      -8.64       3.56      21.76     255.84      502.9       61.2        7.2      0.565
2011  252  82289031      10.31      -2.83      -8.85       4.42      25.46     252.29      512.5       64.7        6.5      0.540
2011  252  82389367       9.79      -2.50      -8.00       4.88      30.18     252.68      513.9       64.5        6.8      0.622
2011  252  82485273       9.71      -2.27      -8.82       2.66      16.31     255.56      510.5       62.1        7.5      0.644
2011  252  82586312       9.56      -1.93      -8.04      -4.77     -29.99     256.51      507.5       63.5        7.2      0.664
2011  252  82682210       9.28      -2.28      -7.52      -4.83     -31.59     253.16      510.1       67.9        8.4      0.942
2011  252  82772671       9.47      -2.32      -7.44      -5.26     -34.00     252.67      510.2       59.3        7.7      0.638
2011  252  82895999       9.92      -2.75      -8.82      -3.52     -20.88     252.67      509.6       54.4        7.5      0.476
2011  252  82978789       9.90      -2.97      -8.51      -3.99     -23.88     250.78      514.0       55.0        8.2      0.532
2011  252  83073156      10.05      -2.55      -9.61      -0.19      -1.12     255.13      513.8       54.0        7.6      0.463
2011  252  83173640      10.12      -0.60     -10.01       0.54       3.09     266.55      508.6       55.6        8.4      0.532
2011  252  83267015      10.19       0.08      -9.84      -0.33      -1.91     270.47      500.7       59.3        9.3      0.665
2011  252  83371265      10.59      -2.40      -9.29      -4.32     -24.22     255.50      523.9       57.9        7.4      0.465
2011  252  83463250      10.50      -3.15      -8.53      -5.08     -29.18     249.71      516.9       55.0        7.5      0.433
2011  252  83566820      10.30      -2.74      -9.13      -3.34     -19.30     253.30      513.2       57.7        9.1      0.600
2011  252  83659492      10.02      -1.71      -8.88      -3.72     -22.35     259.13      503.7       56.5        9.1      0.605
2011  252  83761523       9.93      -1.43      -9.04      -3.57     -21.29     261.01      508.8       52.7        9.0      0.532
2011  252  83875796       9.61      -0.83      -7.66      -5.35     -34.81     263.83      504.9       55.2        9.9      0.686
2011  252  83961648       9.93      -2.28      -8.69      -4.16     -24.85     255.32      508.3       49.7        8.9      0.467
2011  252  84053632      10.12      -2.55      -8.96      -3.72     -21.78     254.14      508.7       51.5        8.9      0.483
2011  252  84153289      10.13      -2.63      -8.95      -3.85     -22.43     253.60      507.1       52.4        9.2      0.519
2011  252  84250585      10.27      -2.12      -8.36      -5.46     -32.37     255.78      505.1       51.9        9.4      0.503
2011  252  84347992      10.23      -1.99      -8.31      -5.53     -32.92     256.56      506.6       52.1        9.6      0.526
2011  252  84447500      10.41      -1.74      -8.39      -5.89     -34.50     258.32      506.3       46.1        8.6      0.353
2011  252  84545617      10.43      -1.82      -9.05      -4.65     -26.77     258.63      511.5       53.0       10.1      0.550
2011  252  84643875       9.65      -2.26      -7.27      -5.90     -37.77     252.70      516.1       51.9        9.9      0.601
2011  252  84740328      10.21      -1.74      -7.79      -6.31     -38.32     257.39      500.2       57.8        9.8      0.663
2011  252  84855312      10.93      -1.92      -5.62      -8.97     -56.47     251.16      500.6       58.1        9.0      0.532
2011  252  84938874      10.58       0.50      -4.27      -9.63     -65.94     276.69      506.0       54.8        8.7      0.489
2011  252  85034679      10.24       0.30      -2.46      -9.86     -75.88     276.88      501.0       49.0        8.5      0.408
2011  252  85134468       9.68       1.02      -2.24      -9.03     -74.76     294.49      504.8       56.8        8.8      0.639
2011  252  85230234       9.84       1.40      -3.50      -9.06     -67.40     291.83      502.6       53.6        8.8      0.548
2011  252  85333640       9.81       1.48      -2.46      -9.31     -72.86     301.00      508.1       42.9        8.3      0.332
2011  252  85428828       9.74       3.33      -0.20      -9.07     -69.82     356.51      505.4       57.8        9.4      0.696
2011  252  85526804      10.15       2.01      -1.21      -9.83     -76.56     328.86      502.1       53.0        7.9      0.454
2011  252  85623390      10.61       1.51      -0.79     -10.46     -80.75     332.30      500.1       54.0        6.8      0.369
2011  252  85721507      10.74       1.71      -0.80     -10.56     -79.85     334.99      500.8       54.5        7.0      0.379
2011  252  85837343      10.22       1.20      -0.31     -10.15     -83.05     345.72      502.4       56.9        8.0      0.523
2011  252  85919281      10.05       0.81      -1.30      -9.89     -81.19     301.83      504.4       54.8        9.1      0.566
2011  252  86017398      10.03       0.86      -1.04      -9.93     -82.26     309.63      508.4       54.2        8.4      0.519
2011  252  86115515       9.62       0.53      -0.86      -9.52     -83.97     301.65      506.8       53.8        8.7      0.574
2011  252  86214484       9.15       0.44      -0.79      -9.07     -84.29     298.80      508.9       53.5        9.1      0.656
2011  252  86311750       9.63       0.53      -0.27      -9.57     -86.43     332.95      500.3       54.7        8.3      0.563
