                           Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V         Vth         Np        Beta   
                           nT         nT         nT         nT        deg        deg        km/s       km/s       cm^3              
2011  252  35201046       2.52      -1.97      -1.49      -0.49     -11.31     217.03      316.0       16.6       11.6      1.061
2011  252  35299164       2.01      -1.58      -1.13      -0.50     -14.38     215.67      317.9       16.2       10.2      1.391
2011  252  35391011       1.97      -1.44      -1.20      -0.58     -17.25     219.74      317.2       17.3       10.0      1.623
2011  252  35498468       2.02      -1.43      -1.30      -0.58     -16.84     222.19      317.7       16.2       10.4      1.404
2011  252  35593523       2.02      -1.43      -1.31      -0.57     -16.32     222.44      318.1       16.1       10.3      1.380
2011  252  35693171       2.02      -1.38      -1.35      -0.60     -17.24     224.34      318.3       16.2       10.4      1.408
2011  252  35791296       2.04      -1.35      -1.38      -0.64     -18.46     225.47      318.8       16.1       10.5      1.383
2011  252  35889414       2.11      -1.46      -1.37      -0.66     -18.18     223.32      319.8       16.6       11.5      1.505
2011  252  35987531       2.06      -1.43      -1.38      -0.47     -13.29     224.07      319.6       16.4       11.5      1.545
2011  252  36085652       1.92      -1.10      -1.52       0.23       6.93     234.05      318.5       16.1       11.3      1.664
2011  252  36183769       2.06      -1.05      -1.75       0.09       2.61     238.92      320.0       15.6       10.8      1.296
2011  252  36281890       2.06      -1.28      -1.61      -0.09      -2.50     231.37      319.9       15.6       10.7      1.285
2011  252  36373738       2.13      -1.47      -1.51      -0.25      -6.78     225.85      319.8       19.9       11.8      2.157
2011  252  36484257       2.09      -1.38      -1.55      -0.02      -0.64     228.25      322.2       16.7       12.3      1.648
2011  252  36579316       2.01      -1.33      -1.45      -0.28      -8.05     227.36      322.4       16.4       12.5      1.746
2011  252  36678964       1.90      -1.35      -1.21      -0.47     -14.57     221.81      323.5       16.8       12.3      2.010
2011  252  36777085       1.94      -1.44      -1.12      -0.61     -18.48     217.87      323.1       16.8       12.8      2.017
2011  252  36873671       2.02      -1.57      -1.14      -0.56     -16.19     215.89      321.3       16.5       12.8      1.801
2011  252  36973324       1.95      -1.34      -1.23      -0.65     -19.60     222.62      323.6       17.8       13.1      2.311
2011  252  37071441       1.91      -1.05      -1.35      -0.83     -26.00     231.96      324.8       16.9       13.3      2.201
2011  252  37169562       1.92      -1.15      -1.31      -0.78     -24.01     228.68      325.0       17.2       13.6      2.305
2011  252  37267679       1.93      -1.26      -1.26      -0.73     -22.29     224.91      325.1       17.5       13.7      2.360
2011  252  37357996       1.93      -0.93      -1.24      -1.13     -36.02     233.05      325.8       19.4       14.8      3.145
2011  252  37463777       1.95      -1.45      -1.20      -0.39     -11.79     219.54      327.6       20.3       14.8      3.383
2011  252  37558828       1.96      -1.50      -1.04      -0.65     -19.61     214.78      330.2       19.4       14.7      3.042
2011  252  37657089       1.94      -1.50      -0.94      -0.75     -23.01     212.04      332.0       19.6       15.1      3.212
2011  252  37755207       2.02      -1.73      -0.81      -0.63     -18.37     205.05      331.8       20.6       16.3      3.540
2011  252  37850261       1.98      -1.67      -0.84      -0.60     -17.80     206.59      332.0       20.0       16.4      3.532
2011  252  37951449       2.04      -1.63      -1.02      -0.65     -18.70     211.99      332.9       19.2       16.2      3.014
2011  252  38052492       1.87      -1.64      -0.64      -0.58     -18.13     201.24      331.0       20.5       16.8      4.266
2011  252  38150749       1.64      -1.42      -0.51      -0.59     -21.22     199.64      331.7       20.1       16.0      5.092
2011  252  38248871       1.56      -1.39      -0.35      -0.61     -23.04     194.35      332.1       19.9       16.0      5.457
2011  252  38342390       1.60      -1.30      -0.22      -0.77     -30.28     189.75      329.9       20.9       16.4      5.874
2011  252  38448035       1.77      -1.70      -0.39      -0.19      -6.12     192.75      328.6       22.6       18.4      6.309
2011  252  38543085       1.75      -1.58      -0.38      -0.59     -19.82     193.50      330.1       19.9       16.7      4.531
2011  252  38641207       1.84      -1.61      -0.59      -0.54     -17.55     200.28      329.6       19.9       17.1      4.201
2011  252  38739324       2.16      -1.67      -1.34      -0.14      -3.64     218.76      328.8       20.0       19.0      3.428
2011  252  38837445       2.31      -1.69      -1.57       0.10       2.41     222.94      328.9       19.6       19.1      2.885
2011  252  38935562       1.96      -1.50      -1.16       0.39      11.51     217.81      330.2       18.9       18.2      3.552
2011  252  39033683       1.82      -1.39      -0.97       0.60      19.30     214.94      329.7       19.7       17.5      4.310
2011  252  39131800       1.87      -1.37      -1.09       0.65      20.33     218.54      329.4       19.6       17.3      3.961
2011  252  39230062       1.89      -1.41      -1.05       0.60      18.69     216.69      330.5       20.3       17.5      4.221
2011  252  39323406       1.75      -1.12      -1.31       0.11       3.79     229.50      331.6       19.6       17.9      4.752
2011  252  39429191       2.02      -1.02      -1.60      -0.62     -18.06     237.43      331.3       18.4       17.7      3.083
2011  252  39524417       2.02      -1.18      -1.53      -0.25      -7.31     232.33      331.3       18.8       18.1      3.307
2011  252  39622539       1.76      -1.11      -1.35       0.05       1.78     230.49      331.6       19.0       18.9      4.633
2011  252  39720656       1.80      -1.15      -1.35       0.28       9.00     229.45      332.3       19.1       19.1      4.492
2011  252  39818777       1.86      -1.14      -1.34       0.57      18.11     229.59      332.2       19.5       19.6      4.543
2011  252  39916894       2.04      -1.38      -1.37       0.54      15.50     224.80      333.4       18.8       19.1      3.396
2011  252  40015015       1.98      -1.53      -1.17       0.30       8.99     217.38      333.0       19.4       19.9      4.027
2011  252  40112957       1.99      -1.70      -0.93       0.39      11.42     208.69      333.4       19.2       20.6      4.046
2011  252  40211253       2.07      -1.90      -0.76       0.24       6.81     201.81      333.5       19.1       20.9      3.740
2011  252  40304773       2.28      -1.92      -1.13       0.13       3.29     210.44      333.6       20.2       21.4      3.516
2011  252  40410558       2.44      -1.75      -1.55       0.61      14.70     221.57      335.1       19.0       21.4      2.722
2011  252  40505609       2.43      -1.89      -1.42       0.49      11.60     216.86      333.0       19.7       22.2      3.070
2011  252  40603730       2.37      -2.04      -1.07       0.47      11.46     207.68      335.0       19.4       22.0      3.097
2011  252  40701847       2.71      -2.18      -1.49       0.59      12.50     214.33      335.5       19.1       21.9      2.295
2011  252  40799968       2.52      -2.05      -1.24       0.74      17.27     211.09      336.9       18.5       21.2      2.402
2011  252  40898085       2.36      -1.90      -1.27       0.55      13.50     213.82      335.2       18.7       21.8      2.887
2011  252  40996207       2.28      -1.64      -1.51       0.47      11.94     222.64      335.3       19.1       22.4      3.287
2011  252  41094324       2.35      -1.71      -1.55       0.34       8.32     222.13      336.7       18.5       22.0      2.868
2011  252  41192445       2.39      -1.92      -1.28       0.58      14.07     213.56      336.4       18.4       21.7      2.703
2011  252  41287355       2.36      -1.90      -0.65       1.12      29.14     198.77      337.9       20.0       23.1      3.496
2011  252  41391750       2.42      -1.88       0.15       1.47      37.85     175.31      340.2       19.0       24.7      3.199
2011  252  41486625       2.55      -1.98       0.59       1.44      34.91     163.43      342.6       19.6       27.0      3.346
2011  252  41587808       3.16      -2.48       0.11       1.76      35.23     177.40      348.8       22.3       29.1      3.043
2011  252  41685929       3.69      -3.19       0.78       1.55      25.29     166.20      348.1       21.6       30.1      2.169
2011  252  41784046       3.92      -3.10       0.21       2.31      36.62     176.21      346.2       19.9       26.8      1.455
2011  252  41882167       3.99      -3.18       0.31       2.25      35.11     174.39      348.3       23.1       33.6      2.361
2011  252  41980289       4.08      -2.84      -0.69       2.72      42.88     193.63      348.5       22.1       31.3      1.922
2011  252  42078441       4.29      -3.06      -0.40       2.92      43.38     187.36      347.4       18.3       27.1      1.037
2011  252  42176558       4.16      -2.90      -0.22       2.93      45.15     184.35      347.8       20.7       29.7      1.546
2011  252  42270046       4.02      -2.73      -0.03       2.86      46.32     180.62      350.5       24.7       32.4      2.574
2011  252  42372761       3.94      -2.41       0.70       2.78      48.00     163.78      355.8       23.9       35.3      2.740
2011  252  42477015       6.98      -2.56       1.27       6.19      65.18     153.54      386.6       27.1       56.5      1.797
2011  252  42569000       7.62      -2.47       1.02       7.00      69.12     157.50      385.0       31.0       66.6      2.312
2011  252  42664089       5.09       0.44       1.80      -3.97     -64.92      76.27      387.9       29.3       68.6      4.790
2011  252  42763707       3.52       0.28       0.99      -2.06     -63.52      74.02      391.5       30.1       75.2     11.509
2011  252  42858042       6.19       0.16       1.81      -5.41     -71.39      84.92      391.4       29.7       76.7      3.707
2011  252  42956878       4.58      -0.52       2.00       3.29      57.93     104.65      393.1       27.5       80.6      6.125
2011  252  43055000       4.44      -0.87      -1.10       4.17      71.35     231.73      393.1       26.8       85.2      6.508
2011  252  43153117       5.37      -0.77      -3.68       3.47      42.71     258.18      391.4       30.0       90.9      5.970
2011  252  43257367       5.21      -0.38      -3.56       3.29      42.58     263.86      393.1       30.2       89.4      6.317
2011  252  43352421       3.50      -1.68      -2.19       0.93      18.55     232.47      392.1       27.9       89.3     11.937
2011  252  43447476       7.47      -2.42       4.12       2.54      27.97     120.38      394.2       31.7       86.3      3.271
2011  252  43545593       7.26       0.24       2.74       4.57      58.91      85.00      395.4       26.8       94.4      2.712
2011  252  43645246      10.04       2.56      -7.00       1.41      10.70     290.06      397.4       25.4       86.0      1.161
2011  252  43741113      16.67       1.62     -14.78      -7.35     -26.31     276.24      397.2       31.9       62.7      0.483
2011  252  43841449      16.56      -0.40     -11.99     -10.84     -42.09     268.07      403.8       30.4       63.3      0.449
2011  252  43938882      21.14      -1.94      -4.03     -20.64     -77.79     244.28      395.2       33.3       48.2      0.252
2011  252  44035472      21.63      -0.91      -2.10     -21.45     -83.90     246.50      394.2       30.2       41.8      0.171
2011  252  44138906      20.32       1.38      -0.28     -19.92     -85.96     348.66      393.7       40.5       40.4      0.337
2011  252  44238558      21.28       3.42      -4.32     -20.49     -74.95     308.35      394.1       43.2       31.8      0.276
2011  252  44336851      18.12       0.32     -11.08      -7.60     -34.43     271.63      395.2       33.6       53.2      0.385
2011  252  44433265      22.32       0.79     -19.78       7.81      21.54     272.29      407.3       41.4       21.4      0.155
2011  252  44534484      22.49       3.53     -21.59      -4.48     -11.59     279.29      405.7       67.7       18.2      0.346
2011  252  44629539      22.17       2.88     -19.72      -7.97     -21.80     278.32      413.4       67.5       20.3      0.396
2011  252  44727691      22.57       3.18     -17.65     -13.41     -36.78     280.20      415.0       64.9       16.3      0.283
2011  252  44825917      18.32       2.34     -17.41       0.38       1.25     277.65      411.3       78.7       21.9      0.851
2011  252  44920828      20.01       3.71     -18.11      -7.56     -22.25     281.59      402.2       79.9       19.7      0.661
2011  252  45022156      20.34       4.68     -18.62      -6.52     -18.75     284.11      406.4       77.3       20.9      0.633
2011  252  45120273      19.65       2.56     -19.17       1.93       5.71     277.61      406.7       86.0       23.8      0.957
2011  252  45224527      19.41       3.23     -18.68      -2.91      -8.73     279.81      409.9       82.1       22.0      0.826
2011  252  45319578      19.48       2.99     -18.09      -6.51     -19.56     279.39      412.3       79.9       21.6      0.762
2011  252  45414632      19.83       3.75     -17.76      -7.76     -23.15     281.91      408.7       81.1       22.0      0.774
2011  252  45512749      19.51       3.08     -18.44      -5.47     -16.30     279.48      413.4       73.4       21.2      0.630
