             Wind MFI and SWE Data, 1 minute resolution, GSM coordinates
Year  DOY  millisecs      Vth         Np        Psw         Pb        Pth        Beta       Mms    
                          km/s       cm^3       nPa        nPa        nPa                          
2011  252  16267135       15.0        8.8    1.78451    0.00090    0.00166      1.833      15.06
2011  252  16564417       15.8        8.8    1.82386    0.00109    0.00185      1.694      14.27
2011  252  16661003       14.5        8.9    1.79104    0.00128    0.00155      1.214      14.62
2011  252  16749923       15.7        8.6    1.77282    0.00170    0.00177      1.045      13.24
2011  252  16854316       13.7        8.5    1.73272    0.00160    0.00133      0.835      14.41
2011  252  16956894       14.3        8.5    1.74777    0.00154    0.00144      0.938      14.26
2011  252  17055414       13.9        8.5    1.76086    0.00163    0.00138      0.847      14.32
2011  252  17152732       14.0        8.7    1.80413    0.00164    0.00144      0.876      14.31
2011  252  17251251       13.7        8.5    1.75235    0.00163    0.00135      0.825      14.38
2011  252  17349371       14.2        8.6    1.78421    0.00171    0.00146      0.852      14.05
2011  252  17447490       14.0        8.6    1.76926    0.00169    0.00140      0.830      14.19
2011  252  17545609       14.2        8.5    1.75726    0.00169    0.00144      0.851      14.04
2011  252  17643728       14.3        8.8    1.80471    0.00164    0.00150      0.917      14.13
2011  252  17731115       15.9        8.7    1.78226    0.00168    0.00185      1.101      13.14
2011  252  17836900       14.2        8.6    1.76856    0.00156    0.00146      0.936      14.25
2011  252  17938083       14.0        8.6    1.76003    0.00162    0.00140      0.862      14.27
2011  252  18036203       14.1        8.6    1.76998    0.00166    0.00142      0.859      14.18
2011  252  18134322       14.7        8.9    1.83475    0.00154    0.00162      1.050      14.11
2011  252  18232441       14.3        8.8    1.82258    0.00147    0.00149      1.013      14.55
2011  252  18324427       14.5        9.0    1.87308    0.00139    0.00158      1.133      14.65
2011  252  18422546       14.5        8.9    1.86307    0.00136    0.00156      1.145      14.72
2011  252  18520666       14.5        8.8    1.83535    0.00144    0.00156      1.082      14.48
2011  252  18618785       14.5        8.8    1.82781    0.00141    0.00154      1.094      14.57
2011  252  18818089       14.3        8.8    1.83114    0.00144    0.00152      1.050      14.57
2011  252  18919275       13.9        8.4    1.75291    0.00147    0.00135      0.919      14.69
2011  252  19011261       14.2        9.0    1.85072    0.00156    0.00152      0.976      14.42
2011  252  19115513       14.2        8.6    1.78192    0.00159    0.00144      0.906      14.29
2011  252  19213632       14.4        8.8    1.82710    0.00163    0.00154      0.944      14.13
2011  252  19311751       14.2        8.9    1.84741    0.00168    0.00151      0.899      14.22
2011  252  19409871       14.1        8.7    1.80655    0.00169    0.00146      0.866      14.17
2011  252  19505064       13.8        8.7    1.77064    0.00160    0.00139      0.868      14.40
2011  252  19606109       14.0        8.7    1.79063    0.00174    0.00142      0.814      14.13
2011  252  19693496       16.1        8.9    1.84444    0.00169    0.00194      1.151      13.15
2011  252  19799281       13.8        8.7    1.79229    0.00163    0.00138      0.849      14.44
2011  252  19899074       14.3        8.7    1.79861    0.00162    0.00149      0.920      14.18
2011  252  19997191       14.0        8.6    1.75561    0.00174    0.00141      0.813      14.01
2011  252  20095169       15.3        8.7    1.77690    0.00122    0.00170      1.393      14.25
2011  252  20193289       15.4        8.7    1.77585    0.00119    0.00172      1.450      14.24
2011  252  20290015       14.3        8.5    1.73260    0.00145    0.00146      1.006      14.30
2011  252  20388134       14.3        8.4    1.70938    0.00168    0.00144      0.860      13.86
2011  252  20487646       14.9        8.5    1.72004    0.00145    0.00158      1.095      13.92
2011  252  20584373       15.2        8.6    1.75717    0.00128    0.00167      1.312      14.14
2011  252  20674685       16.9        8.8    1.79109    0.00126    0.00211      1.675      13.22
2011  252  20783677       14.8        8.5    1.70050    0.00149    0.00155      1.035      13.87
2011  252  20878730       15.0        8.8    1.74486    0.00149    0.00165      1.111      13.76
2011  252  20976849       14.9        8.6    1.72698    0.00163    0.00159      0.974      13.61
