         Wind MFI and SWE Data, 1 minute resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np    
                           nT         nT         nT         nT        km/s       cm^3   
1998  123  26300646       7.74       6.44      -1.74      -3.93      475.5       26.9
1998  123  26396777       7.82       6.60      -1.63      -3.86      474.9       23.6
1998  123  26493046       7.62       6.67      -0.75      -3.55      478.7       28.6
1998  123  26592181       7.62       6.77      -0.70      -3.39      477.8       32.1
1998  123  26688312       7.54       6.35      -1.46      -3.77      478.8       28.9
1998  123  26784443       7.41       5.71      -2.21      -4.17      478.3       36.4
1998  123  26892449       7.28       6.00      -2.02      -3.57      476.1       31.4
1998  123  26970554       7.33       5.52      -2.42      -4.13      476.3       36.9
1998  123  27069689       7.33       5.54      -2.56      -4.02      475.3       37.7
1998  123  27165820       7.31       5.71      -2.61      -3.73      475.2       41.5
1998  123  27261949       7.50       5.75      -2.26      -4.24      473.9       37.4
1998  123  27358080       7.43       5.63      -2.44      -4.19      473.6       34.8
1998  123  27452849       7.41       5.69      -2.27      -4.17      473.9       35.5
1998  123  27548980       7.43       5.93      -1.89      -4.05      473.3       33.9
1998  123  27645109       7.35       5.88      -1.51      -4.13      473.8       34.2
1998  123  27741240       7.22       5.75      -1.07      -4.24      473.7       35.1
1998  123  27850748       7.29       5.51       0.55      -4.58      471.6       32.9
1998  123  27927492       7.24       5.34       0.34      -4.83      473.0       33.1
1998  123  28023623       7.26       5.77      -0.58      -4.32      473.9       36.3
1998  123  28119753       7.26       5.44      -1.19      -4.64      473.0       31.6
1998  123  28215882       7.10       5.28      -1.21      -4.53      472.5       35.9
1998  123  28312013       7.23       5.56      -1.80      -4.21      472.3       31.6
1998  123  28408144       7.22       5.68      -2.51      -3.66      471.7       31.5
1998  123  28504275       6.93       5.18      -2.80      -3.46      472.0       32.7
1998  123  28600406       6.44       5.05      -0.83      -3.88      473.0       37.9
1998  123  28696535       6.40       4.89      -1.73      -3.72      472.7       38.3
1998  123  28806042       6.40       4.59      -2.43      -3.48      470.7       35.7
1998  123  28882787       6.47       4.83      -1.44      -4.00      471.8       31.6
1998  123  28978917       6.61       4.70      -2.68      -3.80      470.4       29.9
1998  123  29075048       6.55       4.72      -2.60      -3.72      470.8       31.4
1998  123  29171177       6.58       4.89      -2.74      -3.33      471.5       30.9
1998  123  29270314       6.05       4.43      -2.74      -3.00      470.1       37.4
1998  123  29366443       6.04       4.53      -1.81      -3.54      469.9       38.0
1998  123  29462574       6.34       4.54      -2.21      -3.82      470.1       31.7
1998  123  29654833       6.33       4.58      -2.52      -3.56      470.1       32.8
1998  123  29764341       6.40       4.63      -2.54      -3.60      470.2       34.1
1998  123  29841087       6.41       4.77      -1.88      -3.83      470.1       30.0
1998  123  30225609       6.41       4.28      -2.22      -4.20      468.4       34.5
1998  123  30321738       6.43       4.95      -2.33      -3.35      468.6       33.7
1998  123  30417869       6.39       4.56      -2.77      -3.47      467.5       35.5
1998  123  30513999       6.46       4.77      -2.64      -3.42      468.4       33.6
