             Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz        Psw         Pb        Pth    
                           nT         nT         nT         nT        nPa        nPa        nPa    
2011  252  16169016       1.50      -0.62      -0.32      -1.32    1.79826    0.00089    0.00173
2011  252  16267135       1.51      -0.56      -0.26      -1.37    1.78451    0.00090    0.00166
2011  252  16564417       1.65       0.88      -0.53      -1.29    1.82386    0.00109    0.00185
2011  252  16661003       1.79       0.58      -0.61      -1.52    1.79104    0.00128    0.00155
2011  252  16749923       2.07       0.42      -0.65      -1.91    1.77282    0.00170    0.00177
2011  252  16854316       2.00       0.34      -0.56      -1.89    1.73272    0.00160    0.00133
2011  252  16956894       1.97       0.38      -0.56      -1.84    1.74777    0.00154    0.00144
2011  252  17055414       2.02       0.57      -0.60      -1.84    1.76086    0.00163    0.00138
2011  252  17152732       2.03       0.54      -0.80      -1.78    1.80413    0.00164    0.00144
2011  252  17251251       2.03       0.31      -0.77      -1.84    1.75235    0.00163    0.00135
2011  252  17349371       2.07       0.50      -0.71      -1.88    1.78421    0.00171    0.00146
2011  252  17447490       2.06       0.42      -0.73      -1.88    1.76926    0.00169    0.00140
2011  252  17545609       2.06       0.39      -0.79      -1.86    1.75726    0.00169    0.00144
2011  252  17643728       2.03       0.47      -0.75      -1.82    1.80471    0.00164    0.00150
2011  252  17731115       2.05       0.35      -0.71      -1.89    1.78226    0.00168    0.00185
2011  252  17836900       1.98       0.20      -0.74      -1.83    1.76856    0.00156    0.00146
2011  252  17938083       2.02       0.34      -0.70      -1.86    1.76003    0.00162    0.00140
2011  252  18036203       2.04       0.34      -0.69      -1.89    1.76998    0.00166    0.00142
2011  252  18134322       1.97       0.14      -0.68      -1.83    1.83475    0.00154    0.00162
2011  252  18232441       1.92       0.73      -0.38      -1.72    1.82258    0.00147    0.00149
2011  252  18324427       1.87       0.90      -0.25      -1.61    1.87308    0.00139    0.00158
2011  252  18422546       1.85       0.96      -0.17      -1.57    1.86307    0.00136    0.00156
2011  252  18520666       1.90       0.89      -0.20      -1.66    1.83535    0.00144    0.00156
2011  252  18618785       1.88       0.96      -0.41      -1.56    1.82781    0.00141    0.00154
2011  252  18818089       1.90       0.78      -0.44      -1.68    1.83114    0.00144    0.00152
2011  252  18919275       1.92       0.58      -0.50      -1.75    1.75291    0.00147    0.00135
2011  252  19011261       1.98       0.47      -0.40      -1.87    1.85072    0.00156    0.00152
2011  252  19115513       2.00       0.45      -0.45      -1.90    1.78192    0.00159    0.00144
2011  252  19213632       2.02       0.46      -0.49      -1.91    1.82710    0.00163    0.00154
2011  252  19311751       2.05       0.46      -0.66      -1.88    1.84741    0.00168    0.00151
2011  252  19409871       2.06       0.40      -0.73      -1.87    1.80655    0.00169    0.00146
2011  252  19505064       2.00       0.03      -0.57      -1.92    1.77064    0.00160    0.00139
2011  252  19606109       2.09       0.33      -0.55      -1.99    1.79063    0.00174    0.00142
2011  252  19693496       2.06       0.27      -0.60      -1.95    1.84444    0.00169    0.00194
2011  252  19799281       2.02       0.09      -0.63      -1.92    1.79229    0.00163    0.00138
2011  252  19899074       2.02       0.24      -0.53      -1.93    1.79861    0.00162    0.00149
2011  252  19997191       2.09       0.25      -0.41      -2.02    1.75561    0.00174    0.00141
2011  252  20095169       1.75       0.18      -0.50      -1.67    1.77690    0.00122    0.00170
2011  252  20193289       1.73       0.26      -0.50      -1.63    1.77585    0.00119    0.00172
2011  252  20290015       1.91      -0.23      -0.57      -1.79    1.73260    0.00145    0.00146
2011  252  20388134       2.05      -0.29      -0.69      -1.91    1.70938    0.00168    0.00144
2011  252  20487646       1.91      -0.22      -0.75      -1.74    1.72004    0.00145    0.00158
2011  252  20584373       1.79      -0.18      -0.64      -1.66    1.75717    0.00128    0.00167
2011  252  20674685       1.78      -0.16      -0.69      -1.63    1.79109    0.00126    0.00211
2011  252  20783677       1.94      -0.30      -0.63      -1.80    1.70050    0.00149    0.00155
2011  252  20878730       1.93      -0.56      -0.58      -1.76    1.74486    0.00149    0.00165
2011  252  20976849       2.03      -0.56      -0.69      -1.82    1.72698    0.00163    0.00159
2011  252  21074968       2.15      -0.46      -0.76      -1.95    1.67871    0.00183    0.00164
2011  252  21174480       2.16      -0.58      -0.67      -1.96    1.63004    0.00185    0.00143
2011  252  21272740       2.08      -0.54      -0.73      -1.87    1.72639    0.00171    0.00160
2011  252  21370718       2.07      -0.60      -0.80      -1.81    1.77011    0.00171    0.00162
2011  252  21467445       2.11      -0.38      -1.00      -1.77    1.77866    0.00177    0.00138
2011  252  21566957       2.05      -0.19      -1.10      -1.72    1.80287    0.00168    0.00149
2011  252  21655876       2.04      -0.15      -1.14      -1.69    1.79991    0.00166    0.00195
2011  252  21764869       2.04       0.02      -1.29      -1.57    1.80565    0.00165    0.00149
2011  252  21859921       2.02       0.13      -1.38      -1.47    1.84728    0.00163    0.00144
2011  252  21958041       2.00       0.12      -1.39      -1.44    1.86850    0.00160    0.00143
2011  252  22056158       1.97       0.10      -1.43      -1.35    1.83928    0.00155    0.00145
2011  252  22154277       1.96       0.05      -1.45      -1.31    1.84459    0.00153    0.00145
2011  252  22252396       1.99       0.18      -1.43      -1.37    1.85792    0.00157    0.00148
2011  252  22350515       1.95       0.20      -1.39      -1.35    1.82702    0.00152    0.00142
2011  252  22448634       1.92       0.17      -1.32      -1.38    1.86098    0.00147    0.00147
2011  252  22546753       1.83       0.04      -1.28      -1.31    1.85654    0.00133    0.00154
2011  252  22637066       1.82       0.16      -1.32      -1.23    1.95402    0.00131    0.00211
2011  252  22746058       1.84       0.22      -1.35      -1.23    1.86975    0.00135    0.00149
2011  252  22841111       1.92       0.33      -1.36      -1.31    1.84644    0.00146    0.00145
2011  252  22938142       1.88       0.03      -1.39      -1.26    1.80923    0.00141    0.00138
2011  252  23037349       1.89       0.04      -1.42      -1.25    1.83508    0.00143    0.00139
2011  252  23135468       1.88      -0.01      -1.46      -1.18    1.85060    0.00140    0.00142
2011  252  23233587       1.87      -0.03      -1.50      -1.12    1.83161    0.00140    0.00141
2011  252  23331707       1.84      -0.18      -1.47      -1.08    1.83262    0.00135    0.00144
2011  252  23429826       1.83      -0.21      -1.47      -1.07    1.82191    0.00134    0.00144
2011  252  23526412       1.79      -0.65      -1.42      -0.79    1.79078    0.00127    0.00157
2011  252  23618257       1.80      -1.01      -1.37      -0.58    1.80679    0.00129    0.00198
2011  252  23727249       1.84      -1.11      -1.42      -0.39    1.75355    0.00135    0.00156
2011  252  23822302       1.73      -1.01      -1.32      -0.45    1.76802    0.00119    0.00165
2011  252  23918888       1.70      -0.81      -1.42      -0.44    1.79031    0.00115    0.00167
