Wind SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs      Vth         Np    
                          km/s       cm^3   
2000  196  40610628       33.2        2.6
2000  196  40704210       31.7        2.6
2000  196  40795472       34.1        2.5
2000  196  40895710       32.1        2.2
2000  196  40992957       35.6        2.7
2000  196  41090203       32.3        2.6
2000  196  41178542       32.5        2.5
2000  196  41302648       39.6        2.8
2000  196  41374460       33.0        2.7
2000  196  41470281       33.9        2.7
2000  196  41565960       33.3        2.5
2000  196  41661703       36.7        3.1
2000  196  41757531       32.9        2.5
2000  196  41856273       40.9        2.5
2000  196  42010272       32.2        1.0
2000  196  42199487       59.7        3.1
2000  196  42669504       51.3        2.5
2000  196  42856991       54.7        2.2
2000  196  43137791       47.7        2.6
2000  196  43226784       77.0        2.7
2000  196  43414271       54.0        2.5
2000  196  43502400       55.6        2.2
2000  196  43965503       48.0        2.4
2000  196  44241983       52.5        2.4
2000  196  44517600       50.9        2.6
2000  196  45069695       53.1        2.1
2000  196  45257183       62.7        3.0
2000  196  45540575       49.6        2.2
2000  196  45633887       73.9        2.2
2000  196  45823968       56.9        2.6
2000  196  46099583       60.5        2.5
2000  196  46188576       65.6        2.7
2000  196  46375200       48.2        2.3
2000  196  46651680       48.1        2.3
2000  196  46927295       48.4        2.2
2000  196  47109600       64.8        1.5
2000  196  47390399       60.1        2.8
2000  196  47673792       51.5        2.9
2000  196  47767968       58.8        1.9
2000  196  47957183       48.8        2.3
2000  196  48233663       50.4        2.5
2000  196  48509280       51.4        2.6
2000  196  48784895       51.8        2.7
2000  196  49061375       46.6        2.5
2000  196  49336992       48.0        2.3
2000  196  49425983       53.1        2.2
2000  196  49613472       54.3        2.7
2000  196  50165568       47.9        2.3
2000  196  50441183       48.5        2.6
2000  196  50717663       48.1        2.5
2000  196  50899968       51.7        2.7
2000  196  50990688       41.2        1.9
2000  196  51082271       54.3        2.3
2000  196  51172991       43.2        2.3
2000  196  51264576       48.1        2.4
2000  196  51356160       48.6        2.6
2000  196  51449472       51.8        2.6
2000  196  51540192       48.8        2.5
2000  196  51631775       49.4        2.6
2000  196  51915167       52.3        2.5
2000  196  52198560       51.3        2.8
2000  196  52481087       55.4        2.8
2000  196  52668575       51.9        2.6
2000  196  52949376       47.0        2.5
2000  196  53134272       64.3        2.0
2000  196  53321760       42.9        4.7
2000  196  53510975       53.2        2.7
2000  196  53698464       46.7        2.0
2000  196  53979264       48.9        2.2
2000  196  54257472       53.0        2.8
2000  196  54540863       40.0        1.5
2000  196  54730080       50.6        2.7
2000  196  54917567       52.7        1.1
2000  196  55013472       36.5        1.8
2000  196  55759968       94.9        7.1
2000  196  56043360      122.5        6.8
2000  196  56325887      116.2        6.1
2000  196  56602368       74.2        5.2
2000  196  56877984       83.3        6.8
2000  196  57061151      100.4        7.3
2000  196  57430080       81.7        7.1
2000  196  57519071      105.9       10.9
2000  196  57706560       72.1        4.2
2000  196  57799872       92.2        7.3
2000  196  57987360      132.1       10.4
2000  196  58080672       77.1        5.9
2000  196  58358880       98.5        7.3
2000  196  58546367      136.9        8.6
2000  196  58642272      104.2        6.6
