Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs      Psw         Pb        Pth    
                          nPa        nPa        nPa    
2011  252  21174480    1.63004    0.00185    0.00143
2011  252  21272740    1.72639    0.00171    0.00160
2011  252  21370718    1.77011    0.00171    0.00162
2011  252  21467445    1.77866    0.00177    0.00138
2011  252  21566957    1.80287    0.00168    0.00149
2011  252  21655876    1.79991    0.00166    0.00195
2011  252  21764869    1.80565    0.00165    0.00149
2011  252  21859921    1.84728    0.00163    0.00144
2011  252  21958041    1.86850    0.00160    0.00143
2011  252  22056158    1.83928    0.00155    0.00145
2011  252  22154277    1.84459    0.00153    0.00145
2011  252  22252396    1.85792    0.00157    0.00148
2011  252  22350515    1.82702    0.00152    0.00142
2011  252  22448634    1.86098    0.00147    0.00147
2011  252  22546753    1.85654    0.00133    0.00154
2011  252  22637066    1.95402    0.00131    0.00211
2011  252  22746058    1.86975    0.00135    0.00149
2011  252  22841111    1.84644    0.00146    0.00145
2011  252  22938142    1.80923    0.00141    0.00138
2011  252  23037349    1.83508    0.00143    0.00139
2011  252  23135468    1.85060    0.00140    0.00142
2011  252  23233587    1.83161    0.00140    0.00141
2011  252  23331707    1.83262    0.00135    0.00144
2011  252  23429826    1.82191    0.00134    0.00144
2011  252  23526412    1.79078    0.00127    0.00157
2011  252  23618257    1.80679    0.00129    0.00198
2011  252  23727249    1.75355    0.00135    0.00156
2011  252  23822302    1.76802    0.00119    0.00165
2011  252  23918888    1.79031    0.00115    0.00167
2011  252  24017007    1.80666    0.00110    0.00171
2011  252  24116658    1.76959    0.00107    0.00162
2011  252  24214777    1.82517    0.00105    0.00163
2011  252  24312896    1.83601    0.00087    0.00160
2011  252  24411015    1.79567    0.00083    0.00159
2011  252  24509134    1.86133    0.00072    0.00180
2011  252  24599447    1.91323    0.00108    0.00206
2011  252  24708439    1.91260    0.00108    0.00179
2011  252  24803492    2.06261    0.00108    0.00201
2011  252  24901611    1.90087    0.00111    0.00162
2011  252  25001263    1.95408    0.00120    0.00172
2011  252  25097849    1.93974    0.00099    0.00164
2011  252  25197361    1.99337    0.00089    0.00170
2011  252  25295480    1.96645    0.00084    0.00164
2011  252  25389140    2.00874    0.00082    0.00183
2011  252  25487259    1.90703    0.00077    0.00160
2011  252  25577572    2.00474    0.00080    0.00216
2011  252  25681824    1.96809    0.00074    0.00173
2011  252  25781617    1.98272    0.00098    0.00190
2011  252  25881128    1.93175    0.00102    0.00178
2011  252  25979248    1.76116    0.00104    0.00147
2011  252  26078900    1.91521    0.00094    0.00162
2011  252  26174093    1.82559    0.00100    0.00157
2011  252  26272212    1.79537    0.00116    0.00150
2011  252  26368798    1.74051    0.00130    0.00156
2011  252  26466916    1.69902    0.00123    0.00156
2011  252  26557228    1.72391    0.00101    0.00199
2011  252  26666220    1.76045    0.00074    0.00166
2011  252  26761132    1.68350    0.00111    0.00164
2011  252  26859392    1.78384    0.00088    0.00190
2011  252  26957511    1.76405    0.00071    0.00161
2011  252  27054097    1.76498    0.00081    0.00198
2011  252  27152216    1.70758    0.00079    0.00203
2011  252  27251869    1.70511    0.00076    0.00169
2011  252  27348455    1.74297    0.00104    0.00209
2011  252  27447966    1.85897    0.00118    0.00206
2011  252  27538419    1.83996    0.00123    0.00222
2011  252  27647271    1.80986    0.00119    0.00193
2011  252  27740931    1.79678    0.00123    0.00198
2011  252  27840583    1.78078    0.00120    0.00185
2011  252  27938562    1.80741    0.00124    0.00197
2011  252  28036681    1.75124    0.00142    0.00173
2011  252  28133408    1.73750    0.00152    0.00180
2011  252  28231527    1.72810    0.00161    0.00182
2011  252  28329646    1.70548    0.00155    0.00169
2011  252  28429298    1.87502    0.00137    0.00187
2011  252  28519609    1.87254    0.00133    0.00212
2011  252  28628601    1.85138    0.00130    0.00184
2011  252  28723513    1.90021    0.00137    0.00188
2011  252  28821632    1.74830    0.00147    0.00163
2011  252  28918359    1.72897    0.00163    0.00187
2011  252  29016478    1.90682    0.00155    0.00235
2011  252  29114599    1.76815    0.00157    0.00180
2011  252  29212716    1.68719    0.00159    0.00164
2011  252  29310835    1.68906    0.00163    0.00163
2011  252  29408955    1.70212    0.00151    0.00170
2011  252  29500800    1.71891    0.00148    0.00198
2011  252  29608259    1.75088    0.00146    0.00185
2011  252  29703312    1.64944    0.00136    0.00158
2011  252  29801431    1.63617    0.00141    0.00164
2011  252  29899550    1.61278    0.00157    0.00167
2011  252  29997669    1.62554    0.00139    0.00165
2011  252  30095789    1.71525    0.00123    0.00199
2011  252  30195300    1.63827    0.00125    0.00151
2011  252  30292027    1.66272    0.00133    0.00179
2011  252  30390146    1.49436    0.00162    0.00157
2011  252  30480599    1.48859    0.00187    0.00186
2011  252  30589451    1.59090    0.00190    0.00188
2011  252  30684503    1.64459    0.00177    0.00212
2011  252  30782623    1.54576    0.00180    0.00163
2011  252  30880742    1.59382    0.00186    0.00186
