                               Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V         Vth         Np        Beta        Va         Ma        Mms    
                           nT         nT         nT         nT        km/s       km/s       cm^3                  km/s                         
2009  200  10522319       3.19      -1.26       1.89       2.24      294.5       16.3        5.9      0.325       28.7      10.27       8.42
2009  200  10620398       3.21      -1.23       1.82       2.34      294.9       16.6        5.9      0.331       28.8      10.25       8.37
2009  200  10718336       3.22      -1.23       1.75       2.41      294.8       16.2        5.9      0.315       29.0      10.18       8.39
2009  200  10805422       3.19      -1.14       1.73       2.42      294.6       17.4        6.1      0.383       28.2      10.46       8.34
2009  200  10917273       3.28      -1.16       1.93       2.38      295.0       16.3        5.9      0.306       29.5      10.00       8.27
2009  200  11012010       3.37      -1.23       1.80       2.57      294.4       15.9        5.7      0.266       30.8       9.55       8.08
2009  200  11110088       3.41      -1.27       1.67       2.68      295.1       16.1        5.7      0.270       31.1       9.51       8.02
2009  200  11207888       3.42      -1.41       1.43       2.77      293.9       16.1        5.7      0.266       31.3       9.39       7.94
2009  200  11305825       3.41      -1.42       1.23       2.85      294.1       16.4        5.7      0.278       31.1       9.47       7.95
2009  200  11403763       3.42      -1.56       1.35       2.73      292.9       16.2        5.6      0.263       31.6       9.27       7.84
2009  200  11501702       3.44      -1.61       1.27       2.77      293.0       16.7        5.7      0.278       31.6       9.28       7.79
2009  200  11599640       3.49      -1.42       1.28       2.92      293.9       17.2        5.8      0.296       31.6       9.29       7.73
2009  200  11697580       3.50      -1.36       1.26       2.97      293.3       16.2        5.4      0.243       32.8       8.94       7.65
2009  200  11784804       3.49      -1.40       1.38       2.88      293.2       17.7        5.8      0.312       31.6       9.27       7.65
2009  200  11896656       3.51      -1.42       1.56       2.81      294.4       16.5        5.6      0.259       32.3       9.11       7.73
2009  200  11991534       3.48      -1.51       1.18       2.84      294.3       16.4        5.6      0.265       31.9       9.22       7.80
2009  200  12089472       3.47      -1.48       0.83       3.02      294.4       16.9        5.8      0.289       31.4       9.37       7.82
2009  200  12184349       3.44      -1.47       0.80       3.00      294.2       16.8        5.8      0.289       31.3       9.41       7.86
2009  200  12282147       3.44      -1.51       0.74       3.00      294.2       16.9        5.9      0.300       30.9       9.52       7.91
2009  200  12380085       3.48      -1.75       1.14       2.78      294.2       17.0        5.8      0.293       31.4       9.36       7.80
2009  200  12478023       3.48      -1.65       1.06       2.87      294.0       16.9        5.9      0.289       31.4       9.37       7.83
2009  200  12575962       3.49      -1.66       1.17       2.81      294.0       17.0        5.8      0.288       31.6       9.30       7.77
2009  200  12673900       3.54      -1.64      -0.06       3.14      293.4       16.9        5.6      0.272       32.5       9.02       7.61
2009  200  12761126       3.55      -1.61      -0.04       3.17      293.4       18.2        5.7      0.314       32.4       9.05       7.46
2009  200  12872977       3.61      -1.67      -0.14       3.20      293.9       16.9        5.5      0.254       33.6       8.74       7.44
2009  200  12967714       3.64      -1.67      -0.09       3.22      293.5       16.9        5.5      0.248       33.9       8.67       7.40
2009  200  13065653       3.57      -1.67       0.05       3.16      293.8       16.8        5.5      0.257       33.1       8.87       7.54
2009  200  13163591       3.59      -1.69      -0.10       3.16      293.0       16.5        5.4      0.240       33.6       8.73       7.48
2009  200  13261529       3.56      -1.66      -0.13       3.15      293.1       17.1        5.7      0.279       32.4       9.04       7.59
2009  200  13359467       3.54      -1.54       0.08       3.19      294.1       17.0        5.7      0.275       32.4       9.09       7.65
2009  200  13457546       3.43      -1.60      -0.13       3.03      294.4       17.0        5.9      0.304       30.8       9.57       7.93
2009  200  13555344       3.43      -1.54      -0.14       3.06      294.2       17.1        6.0      0.315       30.5       9.66       7.96
2009  200  13653282       3.46      -1.65      -0.16       3.04      294.5       17.0        5.9      0.300       31.1       9.48       7.87
2009  200  13740508       3.46      -1.68      -0.21       3.02      294.6       18.6        6.1      0.371       30.5       9.66       7.74
2009  200  13849159       3.47      -1.71      -0.22       3.00      294.1       16.8        5.8      0.285       31.4       9.35       7.83
2009  200  13945567       3.44      -1.35      -0.10       3.16      295.1       16.4        5.8      0.277       31.3       9.44       7.94
2009  200  14042116       3.42      -1.34      -0.22       3.14      295.6       16.6        5.7      0.286       31.1       9.50       7.94
2009  200  14140054       3.32      -1.31      -0.11       3.05      295.5       17.2        6.1      0.344       29.4      10.05       8.16
2009  200  14237992       3.33      -1.23      -0.26       3.07      294.4       17.6        6.1      0.359       29.4      10.03       8.09
2009  200  14335931       3.28      -1.36      -0.23       2.97      294.9       17.1        6.0      0.344       29.2      10.11       8.21
2009  200  14433869       3.25      -1.37      -0.34       2.93      293.9       17.4        6.3      0.378       28.3      10.39       8.30
2009  200  14531807       3.34      -1.42      -0.35       3.00      294.3       17.2        6.1      0.340       29.5       9.96       8.11
2009  200  14629745       3.38      -1.54      -0.46       2.97      296.0       17.3        6.1      0.338       29.8       9.93       8.09
2009  200  14716832       3.38      -1.57      -0.51       2.95      293.6       18.7        6.2      0.400       29.6       9.93       7.85
2009  200  14828682       3.36      -1.63      -0.54       2.89      295.1       17.4        6.0      0.339       29.9       9.88       8.04
2009  200  14923560       3.31      -1.48      -0.66       2.88      294.6       16.9        6.1      0.333       29.3      10.07       8.23
2009  200  15021358       3.22      -1.27      -0.73       2.86      293.7       17.5        6.4      0.395       27.8      10.57       8.38
2009  200  15119437       3.23      -1.28      -0.68       2.88      294.6       17.3        6.3      0.380       28.1      10.48       8.37
2009  200  15217234       3.22      -1.44      -0.78       2.78      293.5       17.3        6.3      0.379       28.1      10.44       8.33
2009  200  15315172       3.23      -1.61      -0.71       2.69      291.9       17.4        6.2      0.380       28.3      10.32       8.24
2009  200  15413111       3.23      -1.69      -0.59       2.68      291.7       17.7        6.3      0.395       28.2      10.36       8.21
2009  200  15509660       3.22      -1.93      -0.29       2.55      289.3       17.7        6.3      0.402       27.9      10.36       8.19
2009  200  15607597       3.20      -1.71      -0.55       2.64      291.0       17.6        6.4      0.409       27.5      10.59       8.34
2009  200  15696214       3.18      -1.57      -0.71       2.67      291.2       18.3        6.5      0.453       27.1      10.73       8.28
2009  200  15806535       3.08      -1.40      -0.81       2.62      290.7       17.1        6.6      0.426       26.3      11.07       8.65
2009  200  15901413       3.12      -1.18      -1.16       2.63      290.6       16.8        6.5      0.396       26.7      10.88       8.62
2009  200  16000741       3.12      -1.26      -1.21       2.59      291.5       16.9        6.5      0.400       26.8      10.88       8.60
2009  200  16098679       3.11      -1.72      -0.78       2.47      292.1       16.6        6.4      0.381       26.9      10.85       8.65
2009  200  16196617       3.14      -1.82      -0.66       2.47      291.6       17.3        6.7      0.425       26.5      11.02       8.61
2009  200  16294555       3.21      -1.88      -0.47       2.56      291.6       16.9        6.5      0.374       27.6      10.58       8.46
2009  200  16392496       3.20      -1.87      -0.36       2.57      291.9       16.9        6.6      0.386       27.2      10.72       8.53
2009  200  16586980       3.20      -1.93      -0.35       2.54      291.5       16.7        6.6      0.374       27.2      10.70       8.57
2009  200  16675832       3.08      -1.95      -0.29       2.36      293.0       17.5        7.3      0.493       25.0      11.74       8.90
2009  200  16785550       3.04      -2.00      -0.30       2.27      291.4       16.8        6.8      0.439       25.4      11.48       8.91
2009  200  16880796       3.18      -2.07      -0.15       2.40      291.7       16.1        6.5      0.349       27.2      10.72       8.68
2009  200  16978734       3.17      -2.03      -0.07       2.44      290.9       17.1        6.5      0.400       27.1      10.74       8.49
2009  200  17076673       3.08      -1.90      -0.21       2.41      292.3       16.2        6.8      0.393       25.8      11.33       8.98
2009  200  17174611       3.13      -1.91       0.12       2.47      291.5       16.7        6.6      0.396       26.5      10.98       8.70
2009  200  17272548       2.99      -1.83      -0.19       2.35      292.3       16.0        7.0      0.419       24.7      11.83       9.27
2009  200  17371878       2.93      -1.78      -0.56       2.26      293.5       16.3        7.2      0.468       23.8      12.32       9.45
2009  200  17469816       3.00      -1.92      -0.52       2.24      293.0       16.2        7.2      0.443       24.4      12.01       9.31
2009  200  17566363       3.08      -2.07      -0.52       2.22      291.9       16.4        7.1      0.420       25.3      11.55       9.05
2009  200  17653591       3.03      -1.97      -0.64       2.20      291.6       17.8        7.4      0.540       24.3      12.02       8.94
