                           Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V          Vx         Vy         Vz    
                           nT         nT         nT         nT        deg        deg        km/s       km/s       km/s       km/s   
2011  252  11155607       1.82       1.27      -1.21       0.46      14.60     316.29      328.8     -328.7       -3.7       -1.7
2011  252  11253725       1.77       1.32      -1.15       0.18       5.86     318.77      329.2     -329.2       -3.5       -3.3
2011  252  11351985       1.64       1.11      -1.15      -0.29     -10.42     313.93      330.5     -330.5       -3.5       -3.3
2011  252  11449963       1.83       1.31      -1.03       0.68      22.25     321.85      327.8     -327.8       -4.1       -3.5
2011  252  11837840       1.82       1.25      -0.79       1.05      35.39     327.87      326.9     -326.8       -5.0       -4.6
2011  252  11943624       1.66       1.20      -0.79       0.78      28.48     326.45      328.4     -328.3       -4.8       -4.4
2011  252  12038677       1.49       1.09      -0.94      -0.37     -14.46     319.19      330.5     -330.5       -2.8       -2.3
2011  252  12136796       1.30       0.91      -0.81      -0.42     -19.19     318.40      329.8     -329.8       -3.8       -3.1
2011  252  12234916       1.04       0.71      -0.57      -0.47     -27.06     321.20      330.5     -330.4       -3.5       -2.6
2011  252  12333035       1.17       0.72      -0.82      -0.43     -21.68     311.19      329.4     -329.4       -3.9       -2.8
2011  252  12431154       1.48       0.88      -0.91      -0.73     -30.03     314.06      328.9     -328.9       -3.5       -2.0
2011  252  12529273       1.25       0.82      -0.80      -0.41     -19.79     315.80      330.2     -330.2       -2.2       -2.3
2011  252  12627391       1.06       0.69      -0.80       0.02       1.26     310.73      328.8     -328.7       -4.3       -2.5
2011  252  12725510       1.42       1.00      -0.70      -0.61     -26.59     324.98      329.2     -329.1       -4.0       -1.6
2011  252  12819170       1.29       1.11      -0.47      -0.44     -20.13     337.23      330.6     -330.5       -3.4       -1.5
2011  252  12928023       1.32       0.96      -0.70      -0.56     -25.33     323.62      330.1     -330.1       -3.3       -3.4
