                                        Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V         Vth         Np        Psw         Pb        Pth        Beta   
                           nT         nT         nT         nT        deg        deg        km/s       km/s       cm^3       nPa        nPa        nPa               
2011  252  47573144      15.88      -3.86      -5.88     -14.13     -63.53     236.72      425.0       84.6       17.9    6.26763    0.10039    0.10707      1.067
2011  252  47671265      15.38      -2.15      -5.90     -13.99     -65.82     250.03      424.3       88.0       19.2    6.72120    0.09417    0.12454      1.322
2011  252  47769382      15.16      -1.64      -4.06     -14.47     -73.15     248.05      427.2       99.9       20.8    7.37058    0.09145    0.17379      1.900
2011  252  47867503      13.52      -1.31      -3.74     -12.80     -72.80     250.68      427.3       93.9       19.9    7.05584    0.07271    0.14697      2.021
2011  252  47965761       5.05      -0.57       0.96      -4.38     -75.67     120.75      434.9      104.1       26.1    9.58253    0.01016    0.23681     23.310
2011  252  48063777       4.79       1.34       3.44      -2.55     -34.58      68.70      431.5      102.9       26.4    9.53761    0.00912    0.23363     25.605
2011  252  48171058       5.05       2.20       1.39      -3.39     -52.46      32.30      433.4       99.6       25.6    9.34355    0.01016    0.21263     20.926
2011  252  48250921       4.13       2.13       1.06       0.46      10.85      26.43      428.8       96.8       24.6    8.76265    0.00679    0.19246     28.363
2011  252  48362730       9.80       4.42       6.41       5.14      33.43      55.43      443.2       99.7       22.4    8.52400    0.03821    0.18609      4.871
2011  252  48647894      17.19       7.46      10.07      11.62      42.84      53.46      444.3      107.3       18.9    7.23022    0.11757    0.18190      1.547
2011  252  48746152      15.38       7.68       8.07      10.51      43.35      46.41      450.1      124.9       23.2    9.12097    0.09409    0.30263      3.216
2011  252  48846445      12.77       0.51       4.68      -0.17      -2.10      83.74      458.5       95.8       20.1    8.21462    0.06491    0.15453      2.381
2011  252  48942250      16.25      -3.91     -11.56     -10.02     -39.38     251.33      445.7      101.3       18.5    7.14899    0.10512    0.15920      1.514
