Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          V         Vth         Np    
                           nT        km/s       km/s       cm^3   
2014    1  27238992       7.46      378.0       36.9        9.9
2014    1  27340554       7.29      378.8       34.4        9.5
2014    1  27441330       7.35      377.2       36.6       10.1
2014    1  27540605       7.57      378.6       37.7       10.3
2014    1  27640697       7.84      374.9       37.1        9.6
2014    1  27734498       7.82      377.0       34.8        9.6
2014    1  27835205       7.85      376.7       35.2        9.9
2014    1  27934548       7.85      375.9       34.5        9.5
2014    1  28032246       7.70      374.1       35.2       10.0
2014    1  28128476       7.51      372.4       32.4        9.8
2014    1  28230041       7.70      375.2       36.8       10.3
2014    1  28322371       7.80      375.7       33.7        9.7
2014    1  28417744       8.02      373.4       32.2        9.4
2014    1  28519201       8.01      372.8       30.9        9.6
2014    1  28622445       7.92      374.0       35.3       10.2
2014    1  28713095       7.83      371.8       31.7        9.8
2014    1  28814658       7.96      373.5       31.4        9.7
2014    1  28913144       8.03      372.1       31.5        9.8
2014    1  29011736       8.06      371.7       30.8        9.7
2014    1  29110115       8.10      369.4       31.5        9.8
2014    1  29208601       8.12      367.1       31.0       10.0
2014    1  29307193       8.04      376.7       35.4       12.9
2014    1  29402601       7.95      379.8       33.9        9.8
2014    1  29501087       7.86      379.7       33.8        9.9
2014    1  29607267       7.87      374.3       36.8       10.4
2014    1  29698058       7.84      372.1       33.4       10.4
2014    1  29801841       7.91      374.9       35.6       10.1
2014    1  29900398       7.91      378.3       35.5       10.6
2014    1  29999671       7.99      381.9       34.9       10.3
2014    1  30095761       8.04      386.7       33.3       10.4
2014    1  30190488       7.95      380.4       35.1       10.3
2014    1  30288972       7.76      382.2       34.9       10.4
2014    1  30387458       7.74      378.3       35.8       10.5
2014    1  30492101       7.76      375.6       35.2       10.0
2014    1  30592124       7.50      378.2       36.2       10.4
2014    1  30685994       7.59      379.3       35.7       10.4
2014    1  30784445       7.59      376.1       29.8       10.0
2014    1  30888978       7.52      385.2       33.2       10.7
2014    1  30978373       7.63      372.3       35.3       10.8
2014    1  31079832       7.72      365.8       37.9       11.6
2014    1  31178423       7.68      378.4       42.8       14.8
2014    1  31273832       7.75      382.4       35.4       12.1
2014    1  31373855       7.83      381.8       34.6       11.6
2014    1  31470802       7.85      383.4       32.6       11.4
2014    1  31583138       7.87      390.1       37.3       12.8
2014    1  31678546       7.84      383.7       28.2       12.5
2014    1  31769337       7.84      382.9       34.4       12.8
2014    1  31867824       7.84      382.4       34.8       13.0
2014    1  31967847       8.04      376.0       35.6       13.3
2014    1  32067873       8.14      376.0       36.6       12.5
2014    1  32166359       8.27      376.2       35.1       12.6
2014    1  32264843       8.59      377.2       36.3       12.2
2014    1  32366408       8.56      379.2       36.0       12.5
2014    1  32461816       8.37      375.1       36.4       13.7
2014    1  32564917       8.44      377.1       38.4       14.0
2014    1  32655708       8.59      381.3       35.8       12.1
2014    1  32757273       8.45      387.3       36.9       14.8
2014    1  32855761       8.60      387.1       33.4       13.1
2014    1  32955781       8.43      391.6       34.1       14.7
2014    1  33053414       8.62      390.9       35.0       14.4
2014    1  33148140       8.65      385.4       36.1       14.8
2014    1  33246624       8.72      382.6       36.2       15.1
2014    1  33345113       8.82      382.0       37.0       15.6
2014    1  33443597       9.11      381.7       37.4       15.4
2014    1  33551992       9.23      384.2       35.6       15.1
2014    1  33643644       9.27      384.0       35.3       15.1
2014    1  33740593       9.34      384.3       33.7       14.7
2014    1  33841296       9.30      391.3       42.2       17.2
2014    1  33938929      10.29      379.2       40.3       12.1
2014    1  34040523      10.18      381.6       40.0       12.1
2014    1  34139906       9.77      387.3       32.0       12.1
2014    1  34237460       9.43      384.2       38.3       12.8
2014    1  34342242       9.66      402.0       44.4       14.5
2014    1  34430675       9.44      382.0       42.4       14.2
2014    1  34536855       9.62      370.2       41.5       13.4
2014    1  34634480       9.72      368.3       41.1       12.5
2014    1  34733109       9.77      374.1       43.9       14.4
2014    1  34831488      10.18      383.9       37.2       11.8
2014    1  34926894       9.72      388.6       37.8       14.2
2014    1  35019195      10.25      368.8       41.9       12.6
2014    1  35129988      10.34      380.7       36.5       12.9
2014    1  35225394      10.17      385.0       37.3       13.0
2014    1  35323882      10.10      384.2       38.5       13.4
2014    1  35416214      10.14      383.4       34.2       12.7
2014    1  35520890      10.16      380.0       41.7       12.5
2014    1  35622417      10.32      385.0       38.5       12.5
2014    1  35714746      10.00      387.1       36.9       12.4
2014    1  35816312       9.96      385.6       40.9       13.6
2014    1  35911718       9.95      388.3       41.0       12.8
2014    1  36008808       9.88      379.6       40.6       13.0
2014    1  36114847       9.67      387.2       39.4       13.0
2014    1  36207179       9.48      384.4       37.1       12.9
2014    1  36308773       9.51      389.3       38.9       13.1
2014    1  36404152       9.51      389.6       38.2       13.4
2014    1  36509644       9.46      389.1       38.5       14.8
2014    1  36605054       9.38      396.1       37.2       15.1
2014    1  36701320       9.50      394.7       35.7       14.5
2014    1  36796691       9.86      394.3       37.4       14.9
2014    1  36893503       9.98      394.4       38.9       15.4
2014    1  36993699      10.23      399.1       36.0       14.9
2014    1  37093687      10.20      396.0       37.7       16.7
2014    1  37192035      10.35      396.0       38.6       17.4
2014    1  37290695      10.27      396.3       37.3       16.8
2014    1  37387605      10.37      395.3       38.5       18.1
2014    1  37492250      10.71      395.5       39.0       17.4
2014    1  37592167      11.19      412.2       41.9       18.3
2014    1  37678488      11.26      399.1       41.9       17.7
2014    1  37786062      11.08      403.7       35.8       16.0
2014    1  37883113      10.74      406.4       39.3       17.8
2014    1  37973945      10.81      404.8       38.8       17.5
2014    1  38373113      11.15      400.0       41.5       18.1
2014    1  38672539      11.61      400.7       41.0       17.3
2014    1  38773960      11.62      402.1       41.5       17.9
2014    1  38872449      11.69      401.6       43.0       19.1
2014    1  38970933      11.77      402.9       42.6       17.5
2014    1  39069417      11.83      408.2       41.4       17.8
2014    1  39161750      11.99      407.6       40.2       16.6
2014    1  39260273      12.75      407.4       38.7       17.1
2014    1  39358757      13.35      409.5       37.8       13.6
2014    1  39466476      13.55      402.6       35.6       14.0
2014    1  39564960      13.20      409.5       36.0       14.8
2014    1  39652785      12.52      407.6       35.9       15.9
2014    1  39757246      12.23      412.8       38.5       16.8
2014    1  39851148      12.40      408.5       43.4       18.5
2014    1  39949636      13.14      402.2       43.5       19.8
2014    1  40054312      14.24      410.3       36.6       13.7
2014    1  40146640      13.89      416.4       39.4       14.6
2014    1  40245132      13.60      417.4       43.1       17.4
2014    1  40343578      12.28      410.4       40.8       18.4
2014    1  40451296      11.91      406.6       44.4       20.5
2014    1  40542230      11.47      408.5       39.2       21.4
2014    1  40637640      11.85      409.2       40.7       20.1
2014    1  40739921      13.40      424.7       36.6       16.6
2014    1  40836046      13.72      419.3       39.0       17.4
2014    1  40936890      13.76      423.7       39.4       17.8
2014    1  41036093      14.14      433.1       37.4       15.5
2014    1  41331550      13.86      433.1       34.9       16.1
2014    1  41439269      13.65      422.1       37.9       17.0
2014    1  41530882      13.80      422.5       33.5       15.7
2014    1  41627007      13.68      421.6       34.6       16.7
2014    1  41725492      13.68      424.4       31.2       14.5
2014    1  41820863      13.55      420.6       35.6       16.5
2014    1  41925542      13.48      424.9       34.5       17.9
2014    1  42024027      13.64      426.6       38.7       18.6
2014    1  42119437      13.16      424.4       36.6       17.3
2014    1  42218062      12.52      423.7       36.3       16.9
2014    1  42310394       9.99      408.3       55.7       23.7
2014    1  42421015      10.25      411.5       53.7       17.8
2014    1  42613507      11.93      411.2       48.6       17.3
2014    1  42712714      12.36      417.6       51.7       15.9
2014    1  42814957       9.06      449.6       47.3       16.6
2014    1  42910539      15.16      424.2       37.0        9.6
2014    1  43008171      14.96      421.5       40.8       10.6
2014    1  43106656      14.89      419.7       42.5       11.2
2014    1  43202917      14.96      421.6       42.2       10.7
2014    1  43300550      14.97      420.0       40.0       10.1
2014    1  43407585      15.21      420.4       40.2        9.8
2014    1  43498238      15.36      422.8       36.6        9.0
2014    1  43593644      15.47      420.5       37.3        9.4
2014    1  43692128      15.49      419.9       37.1        9.3
2014    1  43790621      15.65      419.3       35.1        8.9
2014    1  43891464      15.72      421.5       35.3        9.0
2014    1  43987593      15.66      422.2       38.0        9.3
2014    1  44088437      15.66      422.1       35.2        8.7
2014    1  44187777      15.45      423.7       38.9        9.6
2014    1  44483093      15.18      415.2       41.0        9.8
2014    1  44578468      15.37      419.5       36.2        9.2
2014    1  44676988      15.27      414.4       39.7       10.1
2014    1  44775476      15.11      414.3       39.7        9.9
2014    1  44873964      15.16      415.7       40.6       10.3
2014    1  44972410      15.22      417.2       40.6       10.3
2014    1  45271085      12.51      418.0       47.0       12.9
2014    1  45380378      12.36      422.9       52.9       14.0
2014    1  45474250      13.22      422.8       51.5       13.7
2014    1  45766628      14.17      416.3       43.6       12.6
2014    1  45865113      14.14      419.1       45.0       13.7
2014    1  46160570      14.95      421.3       44.1       12.5
2014    1  46259058      14.86      425.0       43.9       13.4
2014    1  46362160      14.71      422.4       46.5       13.4
2014    1  46456027      14.22      426.7       46.7       14.3
2014    1  46551437      14.45      422.9       47.1       14.1
2014    1  46649921      14.51      420.4       46.8       13.1
2014    1  46748406      14.82      421.9       47.6       13.4
2014    1  46846894      15.12      424.8       45.2       12.7
2014    1  46945378      15.06      424.0       46.8       13.0
2014    1  47043082      15.17      423.4       46.5       13.2
2014    1  47440886      14.91      425.7       49.7       10.3
2014    1  47539195      15.19      436.7       42.4        9.2
2014    1  47637718      12.55      442.0       56.3        9.9
2014    1  47740101      11.43      451.4       47.0       10.2
2014    1  47825457      12.53      439.3       58.1       11.9
2014    1  47933175      14.13      432.7       48.3       10.7
2014    1  48031624      10.69      455.3       69.6       15.5
2014    1  48130144      11.21      422.7       75.4       14.5
2014    1  48228632      11.63      430.0       85.1       16.5
2014    1  48333273       9.21      425.9       72.0       16.6
2014    1  48425746      10.42      424.3       64.3       14.9
2014    1  48521152      11.56      423.4       66.6       14.8
2014    1  48619671      13.48      428.5       66.1       14.3
2014    1  48721062      14.70      433.8       64.9       12.8
2014    1  48819582      15.60      431.9       56.4       10.2
2014    1  48918035      15.42      442.1       71.4       12.1
2014    1  49016519      15.99      434.2       65.4       11.6
2014    1  49115003      16.16      436.9       67.8       11.1
2014    1  49213492      16.81      433.8       63.4        9.6
2014    1  49323781      17.26      630.9       13.0       84.1
2014    1  49413539      17.00      426.6       66.2        9.4
2014    1  49708996      10.15      427.8       67.4       14.0
2014    1  49807480      10.33      431.6       69.0       14.1
2014    1  49902855      11.75      424.5       66.7       10.1
2014    1  50010609      14.72      429.6       68.2        9.8
2014    1  50102941      15.33      432.9       58.4        8.4
2014    1  50201425      14.79      433.9       59.2        9.0
2014    1  50306066      14.35      431.3       63.1        9.4
2014    1  50401476      13.99      430.5       57.8        9.2
2014    1  50496882      13.90      425.8       61.7        9.9
2014    1  50595371      13.83      430.2       60.2        9.2
2014    1  50693855      12.72      434.9       62.3        8.5
2014    1  50792339      11.84      438.2       71.4       10.4
2014    1  50887035      11.89      431.2       65.5       10.1
2014    1  50997007      12.11      460.5       52.6        7.7
2014    1  51078601      12.70      443.9       69.5        9.4
2014    1  51181843      12.92      460.3       66.8        8.6
2014    1  51293355      11.67      452.7       69.6       10.7
2014    1  51374023      11.72      448.8       63.7       10.3
2014    1  51472511      11.74      448.9       72.1       11.2
2014    1  51574964      11.87      455.8       65.3        9.1
2014    1  51673449      11.70      446.0       67.9       10.3
2014    1  51767968      11.37      444.6       70.6       10.8
2014    1  51866453      11.47      445.3       69.3       10.7
2014    1  51968910      11.37      446.5       69.4       10.0
2014    1  52067394      11.26      451.1       72.8       10.0
2014    1  52166664      11.18      464.6       67.6        9.7
2014    1  52278214      11.07      455.4       63.5        9.2
2014    1  52362851      11.12      455.5       67.7        9.7
2014    1  52461335      11.45      462.4       63.2        9.1
2014    1  52851347      12.20      444.6       60.8        9.9
2014    1  53146804      12.28      436.2       60.0        8.9
2014    1  53265468      12.30      461.4       56.9        8.6
2014    1  53353007      13.47      473.4       47.4        7.5
2014    1  53448414      13.77      472.9       49.6        6.9
2014    1  53546933      13.95      479.8       53.6        6.8
2014    1  53645386      14.11      484.4       47.5        6.1
2014    1  53741652      14.11      493.5       55.8        6.2
2014    1  53843929      13.99      508.5       60.2        5.6
2014    1  53943242      13.77      510.9       49.8        5.9
2014    1  54045519      13.35      525.4       66.3        6.3
2014    1  54137847      13.06      521.0       64.9        6.3
2014    1  54257847      12.86      523.7       64.0        6.2
2014    1  54337898      12.91      522.0       61.5        6.0
2014    1  54439460      12.94      521.4       62.8        6.0
2014    1  54537949      12.83      524.2       69.3        6.7
2014    1  54630277      12.72      535.0       52.8        5.6
2014    1  54724972      12.60      516.3       51.7        6.7
2014    1  54825710      12.55      514.2       53.0        6.6
2014    1  54928812      12.59      516.9       65.6        6.6
2014    1  55021144      12.63      527.0       64.9        6.2
2014    1  55119632      12.63      525.7       65.7        6.3
2014    1  55239664      12.40      524.5       65.0        6.6
2014    1  55315031      12.28      522.4       61.9        6.1
2014    1  55416519      12.26      529.5       74.0        7.0
2014    1  55513578      12.28      525.2       63.2        6.4
2014    1  55623652      12.30      522.6       74.0        7.5
2014    1  55709183      12.48      506.1       54.3        6.4
2014    1  55816867      12.27      512.3       60.6        6.5
2014    1  55909878      12.52      511.5       61.9        6.7
2014    1  56009042      12.51      514.7       61.1        6.2
2014    1  56109246      12.56      519.4       59.1        6.0
2014    1  56224519      12.56      516.4       63.9        6.4
2014    1  56307722      12.40      516.3       66.7        6.7
2014    1  56408460      12.32      535.0       63.3        6.4
2014    1  56500113      12.37      516.1       57.9        6.8
2014    1  56606117      12.24      520.3       66.6        6.7
2014    1  56703238      12.23      518.3       57.6        6.7
2014    1  56800679      12.24      521.8       60.1        6.6
2014    1  56901574      12.29      518.4       63.1        6.6
2014    1  56995617      12.48      511.9       56.7        6.8
