                                                                                 Wind MFI and SWE Data, 1 minute resolution, GSE coordinates
Year  DOY  millisecs       B          Bx         By         Bz       Theta       Phi         V          Vx         Vy         Vz       Vtheta      Vphi       Vth         Np        Psw         Pb        Pth        Beta        Va         Ma        Mms      Epsilon  
                           nT         nT         nT         nT        deg        deg        km/s       km/s       km/s       km/s       deg        deg        km/s       cm^3       nPa        nPa        nPa                   km/s                           10^11 W  
2014    1  11478053       5.77      -0.42       3.30      -4.71     -54.76      97.20      375.6     -374.9      -16.6      -17.2       -2.6     -177.5       33.3        6.9    1.88832    0.01324    0.00640      0.484       47.9       7.84       5.97      2.060
2014    1  11573637       5.82      -0.55       3.34      -4.73     -54.41      99.36      373.4     -372.5      -21.6      -13.8       -2.1     -176.7       34.8        7.1    1.93227    0.01347    0.00723      0.536       47.5       7.86       5.85      2.080
2014    1  11675025       5.80      -0.51       3.20      -4.80     -56.00      98.98      375.3     -374.5      -18.0      -15.7       -2.4     -177.2       33.7        6.9    1.87606    0.01336    0.00651      0.487       48.2       7.78       5.91      2.109
2014    1  11773686       5.69      -0.30       3.38      -4.56     -53.31      95.05      374.7     -374.1      -13.6      -17.6       -2.7     -177.9       34.5        7.2    1.95881    0.01290    0.00715      0.555       46.3       8.09       5.98      1.968
2014    1  11873536       5.74      -0.36       3.27      -4.70     -54.97      96.22      376.2     -375.6      -13.0      -17.5       -2.7     -178.0       35.1        6.8    1.87595    0.01311    0.00703      0.536       47.9       7.85       5.85      2.048
2014    1  11973736       5.74      -0.41       3.13      -4.78     -56.57      97.39      375.7     -374.5      -26.9      -11.8       -1.8     -175.9       35.0        7.4    2.02514    0.01312    0.00757      0.577       46.0       8.16       5.97      2.082
2014    1  12068968       5.74      -0.40       3.21      -4.69     -55.42      97.18      375.2     -374.1      -22.0      -17.6       -2.7     -176.6       28.5        6.5    1.76178    0.01310    0.00437      0.334       49.3       7.61       6.22      2.050
2014    1  12167629       5.81      -1.04       3.85      -3.89     -44.29     105.12      377.0     -376.3      -10.2      -19.7       -3.0     -178.4       33.1        6.6    1.82508    0.01344    0.00605      0.451       49.3       7.65       5.91      1.857
2014    1  12263038       5.96      -1.29       4.78      -3.31     -33.75     105.09      375.5     -374.0      -30.9      -14.2       -2.2     -175.3       35.2        6.7    1.83533    0.01416    0.00693      0.490       50.2       7.48       5.68      1.639
2014    1  12364600       6.02      -0.31       3.30      -4.90     -55.95      95.44      378.3     -377.9      -12.6      -10.5       -1.6     -178.1       33.5        6.8    1.89095    0.01441    0.00639      0.444       50.3       7.52       5.83      2.286
